Zone#,PD,Population,Work General,Work Manufacturing,Work Professional,Work Retail,Work Unknown,Employment,Employment General,Employment Manufacturing,Employment Professional,Employment Retail,Employment Unknown,X,Y,Internal Distance,Retail Level,Other Level,Work Level,Internal Density,Parking Cost,Artirial Percentage
2397,31,4059.76,0,0,0,0,0,0,0,0,0,0,0,634921,4853716,143.1554128,0,0,0,0,0,0
2398,31,3941.62,0,0,0,0,0,0,0,0,0,0,0,635786,4854099,180.8032233,0,0,0,0,0,0
2399,31,4314.25,0,0,0,0,0,0,0,0,0,0,0,636261,4853943,116.3902678,0,0,0,0,0,0
2400,31,0,0,0,0,0,0,0,0,0,0,0,0,634624,4855010,186.2988191,0,0,0,0,0,0
2401,31,0,0,0,0,0,0,0,0,0,0,0,0,635193,4855356,147.9003982,0,0,0,0,0,0
2402,31,1116.72,0,0,0,0,0,0,0,0,0,0,0,636216,4855384,189.6259476,0,0,0,0,0,0
2403,31,0,0,0,0,0,0,0,0,0,0,0,0,634441,4856249,78.00747827,0,0,0,0,0,0
2404,31,0,0,0,0,0,0,0,0,0,0,0,0,635034,4856561,90.66881125,0,0,0,0,0,0
2405,31,4546.88,0,0,0,0,0,0,0,0,0,0,0,633969,4856972,126.7147935,0,0,0,0,0,0
2406,31,154.66,0,0,0,0,0,0,0,0,0,0,0,634937,4857455,147.0034013,0,0,0,0,0,0
2407,31,316.88,0,0,0,0,0,0,0,0,0,0,0,636100,4857566,164.4679976,0,0,0,0,0,0
2408,31,4848.34,0,0,0,0,0,0,0,0,0,0,0,634165,4857876,220.700589,0,0,0,0,0,0
2409,31,3528.01,0,0,0,0,0,0,0,0,0,0,0,635634,4858507,220.5408125,0,0,0,0,0,0
2410,31,3338.18,0,0,0,0,0,0,0,0,0,0,0,634577,4859145,202.336285,0,0,0,0,0,0
2411,31,2119.86,0,0,0,0,0,0,0,0,0,0,0,633635,4860042,256.8246267,0,0,0,0,0,0
2412,31,1910.35,0,0,0,0,0,0,0,0,0,0,0,634992,4860875,223.6806379,0,0,0,0,0,0
2413,31,0,0,0,0,0,0,0,0,0,0,0,0,634509,4861830,339.8267532,0,0,0,0,0,0
2414,31,48.26,0,0,0,0,0,0,0,0,0,0,0,633034,4864714,372.6359931,0,0,0,0,0,0
2415,31,86.58,0,0,0,0,0,0,0,0,0,0,0,635276,4865502,385.2940796,0,0,0,0,0,0
2416,31,17.3,0,0,0,0,0,0,0,0,0,0,0,635966,4862546,350.5045966,0,0,0,0,0,0
2417,31,10394.56,0,0,0,0,0,0,0,0,0,0,0,636006,4861666,238.5111225,0,0,0,0,0,0
2418,31,12044.44,0,0,0,0,0,0,0,0,0,0,0,636607,4860920,254.0500826,0,0,0,0,0,0
2419,31,7238.36,0,0,0,0,0,0,0,0,0,0,0,636955,4859598,255.4276914,0,0,0,0,0,0
2420,31,2677.59,0,0,0,0,0,0,0,0,0,0,0,636953,4858642,152.0082235,0,0,0,0,0,0
2421,31,58.03,0,0,0,0,0,0,0,0,0,0,0,637300,4858414,95.0327429,0,0,0,0,0,0
2422,31,2561.98,0,0,0,0,0,0,0,0,0,0,0,637012,4858040,166.4055454,0,0,0,0,0,0
2423,31,6601.4,0,0,0,0,0,0,0,0,0,0,0,637273,4857452,190.7311226,0,0,0,0,0,0
2424,31,3178.17,0,0,0,0,0,0,0,0,0,0,0,637284,4856381,215.7465076,0,0,0,0,0,0
2425,31,10451.3,0,0,0,0,0,0,0,0,0,0,0,637000,4854794,241.5646911,0,0,0,0,0,0
2426,31,9481.46,0,0,0,0,0,0,0,0,0,0,0,637960,4855305,248.0021841,0,0,0,0,0,0
2427,31,12065.84,0,0,0,0,0,0,0,0,0,0,0,638904,4855838,230.0407573,0,0,0,0,0,0
2428,31,13088.67,0,0,0,0,0,0,0,0,0,0,0,639983,4855879,254.4616867,0,0,0,0,0,0
2429,31,0,0,0,0,0,0,0,0,0,0,0,0,638727,4856792,207.7021104,0,0,0,0,0,0
2430,31,1582.61,0,0,0,0,0,0,0,0,0,0,0,638709,4858728,270.8763556,0,0,0,0,0,0
2431,31,0,0,0,0,0,0,0,0,0,0,0,0,637979,4859106,141.4167403,0,0,0,0,0,0
2432,31,2747.01,0,0,0,0,0,0,0,0,0,0,0,639307,4859407,169.8722559,0,0,0,0,0,0
2433,31,9984.73,0,0,0,0,0,0,0,0,0,0,0,638465,4860346,264.3140493,0,0,0,0,0,0
2434,31,9515.47,0,0,0,0,0,0,0,0,0,0,0,638237,4861389,246.4525535,0,0,0,0,0,0
2435,31,10828.1,0,0,0,0,0,0,0,0,0,0,0,638240,4862370,242.1761297,0,0,0,0,0,0
2436,31,0,0,0,0,0,0,0,0,0,0,0,0,637103,4863310,345.0751528,0,0,0,0,0,0
2437,31,23.94,0,0,0,0,0,0,0,0,0,0,0,637004,4865647,375.2554685,0,0,0,0,0,0
2438,31,342.18,0,0,0,0,0,0,0,0,0,0,0,638503,4866670,372.4729297,0,0,0,0,0,0
2439,31,6.92,0,0,0,0,0,0,0,0,0,0,0,639614,4865539,336.2333019,0,0,0,0,0,0
2440,31,9239.76,0,0,0,0,0,0,0,0,0,0,0,639993,4862776,263.3832759,0,0,0,0,0,0
2441,31,6256.39,0,0,0,0,0,0,0,0,0,0,0,640066,4861824,214.0696927,0,0,0,0,0,0
2442,31,5974.7,0,0,0,0,0,0,0,0,0,0,0,640420,4861270,215.7133515,0,0,0,0,0,0
2443,31,3178.54,0,0,0,0,0,0,0,0,0,0,0,640655,4860538,203.627042,0,0,0,0,0,0
2444,31,2467.69,0,0,0,0,0,0,0,0,0,0,0,640511,4859923,168.6597495,0,0,0,0,0,0
2445,31,3190.96,0,0,0,0,0,0,0,0,0,0,0,641014,4859454,227.7335797,0,0,0,0,0,0
2446,31,647.31,0,0,0,0,0,0,0,0,0,0,0,640178,4858581,103.0111914,0,0,0,0,0,0
2447,31,3440.61,0,0,0,0,0,0,0,0,0,0,0,641712,4858236,221.6011808,0,0,0,0,0,0
2448,31,4140.99,0,0,0,0,0,0,0,0,0,0,0,640859,4857455,245.781633,0,0,0,0,0,0
2449,31,6700.1,0,0,0,0,0,0,0,0,0,0,0,640779,4855816,266.5837892,0,0,0,0,0,0
2450,31,143.01,0,0,0,0,0,0,0,0,0,0,0,643763,4857524,305.8094904,0,0,0,0,0,0
2451,31,8781.74,0,0,0,0,0,0,0,0,0,0,0,642625,4858042,290.1636033,0,0,0,0,0,0
2452,31,50.83,0,0,0,0,0,0,0,0,0,0,0,645193,4858300,502.9462087,0,0,0,0,0,0
